,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
3090,TBIO,"Translate Bio, Inc. - Common Stock",Q,N,N,100.0,N,N
3091,TBK,"Triumph Bancorp, Inc. - Common Stock",Q,N,N,100.0,N,N
3092,TBLT,"ToughBuilt Industries, Inc. - Common Stock",S,N,N,100.0,N,N
3093,TBLTW,"ToughBuilt Industries, Inc. - Warrant",S,N,N,100.0,N,N
3094,TBNK,Territorial Bancorp Inc. - Common Stock,Q,N,N,100.0,N,N
3095,TBPH,"Theravance Biopharma, Inc. - Ordinary Shares",G,N,N,100.0,N,N
3096,TC,TuanChe Limited - American Depositary Shares,S,N,N,100.0,N,N
3097,TCBI,"Texas Capital Bancshares, Inc. - Common Stock",Q,N,N,100.0,N,N
3098,TCBIL,"Texas Capital Bancshares, Inc. - 6.50% Subordinated Notes due 2042",Q,N,N,100.0,N,N
3099,TCBIP,"Texas Capital Bancshares, Inc. - Non Cumulative Preferred Perpetual Stock Series A",Q,N,N,100.0,N,N
3100,TCBK,TriCo Bancshares - Common Stock,Q,N,N,100.0,N,N
3101,TCCO,Technical Communications Corporation - Common Stock,S,N,N,100.0,N,N
3102,TCDA,"Tricida, Inc. - Common Stock",Q,N,N,100.0,N,N
3103,TCF,TCF Financial Corporation - Common Stock,Q,N,N,100.0,N,N
3104,TCFC,The Community Financial Corporation - Common Stock,S,N,N,100.0,N,N
3105,TCFCP,TCF Financial Corporation - Depositary Shares representing 5.70% Series C Non-Cumulative Preferred Stock,Q,N,N,100.0,N,N
3106,TCMD,"Tactile Systems Technology, Inc. - Common Stock",G,N,N,100.0,N,N
3107,TCOM,Trip.com Group Limited - American Depositary Shares,Q,N,N,100.0,N,N
3108,TCON,"TRACON Pharmaceuticals, Inc. - Common Stock",S,N,N,100.0,N,N
3109,TCPC,BlackRock TCP Capital Corp. - Common Stock,Q,N,N,100.0,N,N
3110,TCRD,"THL Credit, Inc. - Common Stock",Q,N,N,100.0,N,N
3111,TCRR,TCR2 Therapeutics Inc. - Common Stock,Q,N,D,100.0,N,N
3112,TCX,Tucows Inc. - Common Stock,S,N,N,100.0,N,N
3113,TDAC,Trident Acquisitions Corp. - Common Stock,S,N,N,100.0,N,N
3114,TDACU,Trident Acquisitions Corp. - Units,S,N,N,100.0,N,N
3115,TDACW,Trident Acquisitions Corp. - Warrant,S,N,N,100.0,N,N
3116,TDIV,First Trust NASDAQ Technology Dividend Index Fund,G,N,N,100.0,Y,N
3117,TEAM,Atlassian Corporation Plc - Class A Ordinary Shares,Q,N,N,100.0,N,N
3118,TECD,Tech Data Corporation - Common Stock,Q,N,N,100.0,N,N
3119,TECH,Bio-Techne Corp - Common Stock,Q,N,N,100.0,N,N
3120,TECTP,"Tectonic Financial, Inc. - 9.00% Fixed-to-Floating Rate Series B Non-Cumulative Perpetual Preferred Stock",S,N,N,100.0,N,N
3121,TEDU,"Tarena International, Inc. - American Depositary Shares",Q,N,N,100.0,N,N
3122,TELA,"TELA Bio, Inc. - Common stock",G,N,N,100.0,N,N
3123,TELL,Tellurian Inc. - Common Stock,S,N,N,100.0,N,N
3124,TENB,"Tenable Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
3125,TENX,"Tenax Therapeutics, Inc. - Common Stock",S,N,D,100.0,N,N
3126,TER,"Teradyne, Inc. - Common Stock",Q,N,N,100.0,N,N
3127,TERP,"TerraForm Power, Inc. - Class A Common Stock New",Q,N,N,100.0,N,N
3128,TESS,TESSCO Technologies Incorporated - Common Stock,Q,N,N,100.0,N,N
3129,TEUM,Pareteum Corporation - Common Stock,S,N,H,100.0,N,N
3130,TFFP,"TFF Pharmaceuticals, Inc. - Common Stock",S,N,N,100.0,N,N
3131,TFSL,TFS Financial Corporation - Common Stock,Q,N,N,100.0,N,N
3132,TGA,TransGlobe Energy Corporation - Common Shares,Q,N,D,100.0,N,N
3133,TGEN,Tecogen Inc. - Common Stock,S,N,N,100.0,N,N
3134,TGLS,Tecnoglass Inc. - Ordinary Shares,S,N,N,100.0,N,N
3135,TGTX,"TG Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
3136,TH,Target Hospitality Corp. - Common Stock,S,N,N,100.0,N,N
3137,THBR,"Thunder Bridge Acquisition II, Ltd. - Class A Ordinary Shares",S,N,N,100.0,N,N
