,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
0,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",G,N,N,100.0,N,N
1,AAL,"American Airlines Group, Inc. - Common Stock",Q,N,N,100.0,N,N
2,AAME,Atlantic American Corporation - Common Stock,G,N,N,100.0,N,N
3,AAOI,"Applied Optoelectronics, Inc. - Common Stock",G,N,N,100.0,N,N
4,AAON,"AAON, Inc. - Common Stock",Q,N,N,100.0,N,N
5,AAPL,Apple Inc. - Common Stock,Q,N,N,100.0,N,N
6,AAWW,Atlas Air Worldwide Holdings - Common Stock,Q,N,N,100.0,N,N
7,AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,G,N,N,100.0,Y,N
8,AAXN,"Axon Enterprise, Inc. - Common Stock",Q,N,N,100.0,N,N
9,ABCB,Ameris Bancorp - Common Stock,Q,N,N,100.0,N,N
10,ABEO,Abeona Therapeutics Inc. - Common Stock,S,N,D,100.0,N,N
11,ABIO,"ARCA biopharma, Inc. - Common Stock",S,N,N,100.0,N,N
12,ABMD,"ABIOMED, Inc. - Common Stock",Q,N,N,100.0,N,N
13,ABTX,"Allegiance Bancshares, Inc. - Common Stock",G,N,N,100.0,N,N
14,ABUS,Arbutus Biopharma Corporation - Common Stock,Q,N,N,100.0,N,N
15,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,N,N,100.0,N,N
16,ACAM,Acamar Partners Acquisition Corp. - Class A Common Stock,S,N,N,100.0,N,N
17,ACAMU,Acamar Partners Acquisition Corp. - Units,S,N,N,100.0,N,N
18,ACAMW,Acamar Partners Acquisition Corp. - Warrant,S,N,N,100.0,N,N
19,ACBI,"Atlantic Capital Bancshares, Inc. - Common Stock",Q,N,N,100.0,N,N
20,ACER,Acer Therapeutics Inc. - Common Stock,S,N,N,100.0,N,N
21,ACGL,Arch Capital Group Ltd. - Common Stock,Q,N,N,100.0,N,N
22,ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,N,N,100.0,N,N
23,ACGLP,Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Q,N,N,100.0,N,N
24,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,N,N,100.0,N,N
25,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",S,N,D,100.0,N,N
26,ACIA,"Acacia Communications, Inc. - Common Stock",Q,N,N,100.0,N,N
27,ACIU,AC Immune SA - Common Stock,G,N,N,100.0,N,N
28,ACIW,"ACI Worldwide, Inc. - Common Stock",Q,N,N,100.0,N,N
29,ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,N,N,100.0,N,N
30,ACMR,"ACM Research, Inc. - Class A Common Stock",G,N,N,100.0,N,N
31,ACNB,ACNB Corporation - Common Stock,S,N,N,100.0,N,N
32,ACOR,"Acorda Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
33,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
34,ACRX,"AcelRx Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0,N,N
35,ACST,"Acasti Pharma, Inc. - Class A Common Stock",S,N,D,100.0,N,N
36,ACT,AdvisorShares Vice ETF,G,N,N,100.0,Y,N
37,ACTG,Acacia Research Corporation - Common Stock,Q,N,N,100.0,N,N
38,ACTT,Act II Global Acquisition Corp. - Class A Ordinary Shares,S,N,N,100.0,N,N
39,ACTTU,Act II Global Acquisition Corp. - Unit,S,N,N,100.0,N,N
40,ACTTW,Act II Global Acquisition Corp. - Warrant,S,N,N,100.0,N,N
41,ACWI,iShares MSCI ACWI Index Fund,G,N,N,100.0,Y,N
42,ACWX,iShares MSCI ACWI ex US Index Fund,G,N,N,100.0,Y,N
43,ADAP,Adaptimmune Therapeutics plc - American Depositary Shares,Q,N,N,100.0,N,N
44,ADBE,Adobe Inc. - Common Stock,Q,N,N,100.0,N,N
45,ADES,"Advanced Emissions Solutions, Inc. - Common Stock",G,N,N,100.0,N,N
46,ADI,"Analog Devices, Inc. - Common Stock",Q,N,N,100.0,N,N
47,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",S,N,N,100.0,N,N
48,ADILW,"Adial Pharmaceuticals, Inc - Warrant",S,N,N,100.0,N,N
49,ADMA,ADMA Biologics Inc - Common Stock,G,N,N,100.0,N,N
50,ADMP,Adamis Pharmaceuticals Corporation - Common Stock,S,N,D,100.0,N,N
51,ADMS,"Adamas Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0,N,N
52,ADP,"Automatic Data Processing, Inc. - Common Stock",Q,N,N,100.0,N,N
53,ADPT,Adaptive Biotechnologies Corporation - Common Stock,Q,N,N,100.0,N,N
54,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,G,N,N,100.0,Y,N
55,ADRO,"Aduro Biotech, Inc. - Common Stock",Q,N,N,100.0,N,N
56,ADSK,"Autodesk, Inc. - Common Stock",Q,N,N,100.0,N,N
57,ADTN,"ADTRAN, Inc. - Common Stock",Q,N,N,100.0,N,N
58,ADUS,Addus HomeCare Corporation - Common Stock,Q,N,E,100.0,N,N
59,ADVM,"Adverum Biotechnologies, Inc. - Common Stock",G,N,N,100.0,N,N
60,ADXN,Addex Therapeutics Ltd - American Depositary Shares,S,N,N,100.0,N,N
61,ADXS,"Advaxis, Inc. - Common Stock",Q,N,D,100.0,N,N
62,AEGN,Aegion Corp - Class A Common Stock,Q,N,N,100.0,N,N
63,AEHR,Aehr Test Systems - Common Stock,S,N,N,100.0,N,N
64,AEIS,"Advanced Energy Industries, Inc. - Common Stock",Q,N,N,100.0,N,N
65,AEMD,"Aethlon Medical, Inc. - Common Stock",S,N,N,100.0,N,N
66,AERI,"Aerie Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0,N,N
67,AESE,"Allied Esports Entertainment, Inc. - Common Stock",S,N,N,100.0,N,N
68,AEY,"ADDvantage Technologies Group, Inc. - Common Stock",G,N,N,100.0,N,N
69,AEYE,"AudioEye, Inc. - Common Stock",S,N,N,100.0,N,N
70,AEZS,Aeterna Zentaris Inc. - Common Stock,S,N,D,100.0,N,N
71,AFH,"Atlas Financial Holdings, Inc. - Ordinary Shares",S,N,H,100.0,N,N
72,AFIN,"American Finance Trust, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
73,AFINP,"American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock",Q,N,N,100.0,N,N
74,AFMD,Affimed N.V. - Common Stock,G,N,N,100.0,N,N
75,AFYA,Afya Limited - Class A Common Shares,Q,N,N,100.0,N,N
76,AGBA,AGBA Acquisition Limited - Ordinary Share,S,N,N,100.0,N,N
77,AGBAR,AGBA Acquisition Limited - Right,S,N,N,100.0,N,N
78,AGBAU,AGBA Acquisition Limited - Unit,S,N,N,100.0,N,N
79,AGBAW,AGBA Acquisition Limited - Warrant,S,N,N,100.0,N,N
80,AGEN,Agenus Inc. - Common Stock,S,N,N,100.0,N,N
81,AGFS,"AgroFresh Solutions, Inc. - Common Stock",Q,N,N,100.0,N,N
82,AGFSW,"AgroFresh Solutions, Inc. - Warrants",Q,N,N,100.0,N,N
83,AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
84,AGLE,"Aeglea BioTherapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
85,AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,S,N,D,100.0,N,N
86,AGNC,AGNC Investment Corp. - Common Stock,Q,N,N,100.0,N,N
87,AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Q,N,N,100.0,N,N
88,AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,100.0,N,N
89,AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",Q,N,N,100.0,N,N
90,AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,100.0,N,N
91,AGND,WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund,G,N,N,100.0,Y,N
92,AGRX,"Agile Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
93,AGTC,Applied Genetic Technologies Corporation - Common Stock,G,N,N,100.0,N,N
94,AGYS,"Agilysys, Inc. - Common Stock",Q,N,N,100.0,N,N
95,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,G,N,N,100.0,Y,N
96,AHCO,AdaptHealth Corp.  - Class A Common Stock,S,N,N,100.0,N,N
97,AHPI,"Allied Healthcare Products, Inc. - Common Stock",S,N,N,100.0,N,N
98,AIA,iShares Asia 50 ETF,G,N,N,100.0,Y,N
99,AIH,Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares,G,N,N,100.0,N,N
100,AIHS,Senmiao Technology Limited - Common Stock,S,N,D,100.0,N,N
101,AIKI,AIkido Pharma Inc. - Common Stock,S,N,N,100.0,N,N
102,AIMC,Altra Industrial Motion Corp. - Common Stock,Q,N,N,100.0,N,N
103,AIMT,"Aimmune Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
104,AINV,Apollo Investment Corporation - Closed End Fund,Q,N,N,100.0,N,N
105,AIQ,Global X Future Analytics Tech ETF,G,N,N,100.0,Y,N
106,AIRG,"Airgain, Inc. - Common Stock",S,N,N,100.0,N,N
107,AIRR,First Trust RBA American Industrial Renaissance ETF,G,N,N,100.0,Y,N
108,AIRT,"Air T, Inc. - Common Stock",G,N,N,100.0,N,N
109,AIRTP,"Air T, Inc. - Trust Preferred Securities",G,N,N,100.0,N,N
110,AIRTW,"Air T, Inc. - Air T Funding Warrants to Purchase Trust Preferred",G,N,N,100.0,N,N
111,AKAM,"Akamai Technologies, Inc. - Common Stock",Q,N,N,100.0,N,N
112,AKBA,"Akebia Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
113,AKCA,"Akcea Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
114,AKER,Akers Biosciences Inc. - Common Stock,S,N,N,100.0,N,N
115,AKRO,"Akero Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
116,AKRX,"Akorn, Inc. - Common Stock",Q,N,D,100.0,N,N
117,AKTS,"Akoustis Technologies, Inc. - Common Stock",S,N,N,100.0,N,N
118,AKTX,Akari Therapeutics Plc - American Depositary Shares,S,N,N,100.0,N,N
119,ALAC,Alberton Acquisition Corporation - Ordinary Shares,S,N,N,100.0,N,N
120,ALACR,Alberton Acquisition Corporation - Rights,S,N,N,100.0,N,N
121,ALACU,Alberton Acquisition Corporation - Unit,S,N,N,100.0,N,N
122,ALACW,Alberton Acquisition Corporation - Warrant,S,N,N,100.0,N,N
123,ALBO,"Albireo Pharma, Inc. - Common Stock",S,N,N,100.0,N,N
124,ALCO,"Alico, Inc. - Common Stock",Q,N,N,100.0,N,N
125,ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
126,ALEC,"Alector, Inc. - Common Stock",Q,N,N,100.0,N,N
127,ALGN,"Align Technology, Inc. - Common Stock",Q,N,N,100.0,N,N
128,ALGT,Allegiant Travel Company - Common Stock,Q,N,N,100.0,N,N
129,ALIM,"Alimera Sciences, Inc. - Common Stock",G,N,N,100.0,N,N
130,ALJJ,"ALJ Regional Holdings, Inc. - Common Stock",G,N,D,100.0,N,N
131,ALKS,Alkermes plc - Ordinary Shares,Q,N,N,100.0,N,N
132,ALLK,Allakos Inc. - Common Stock,Q,N,N,100.0,N,N
133,ALLO,"Allogene Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
134,ALLT,Allot Ltd. - Ordinary Shares,Q,N,N,100.0,N,N
135,ALNA,"Allena Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
136,ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
137,ALOT,"AstroNova, Inc. - Common Stock",G,N,N,100.0,N,N
138,ALPN,"Alpine Immune Sciences, Inc. - Common Stock",G,N,N,100.0,N,N
139,ALRM,"Alarm.com Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
140,ALRN,"Aileron Therapeutics, Inc. - Common Stock",S,N,D,100.0,N,N
141,ALRS,Alerus Financial Corporation - Common Stock,S,N,N,100.0,N,N
142,ALSK,"Alaska Communications Systems Group, Inc. - Common Stock",Q,N,N,100.0,N,N
143,ALT,"Altimmune, Inc. - Common Stock",G,N,N,100.0,N,N
144,ALTM,Altus Midstream Company - Class A Common Stock,G,N,N,100.0,N,N
145,ALTR,Altair Engineering Inc. - Class A Common Stock,Q,N,N,100.0,N,N
146,ALTY,Global X SuperDividend Alternatives ETF,G,N,N,100.0,Y,N
147,ALXN,"Alexion Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
148,ALYA,Alithya Group inc. - Class A subordinate voting shares,S,N,N,100.0,N,N
149,AMAG,"AMAG Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
150,AMAL,Amalgamated Bank - Class A Common Stock,G,N,N,100.0,N,N
151,AMAT,"Applied Materials, Inc. - Common Stock",Q,N,N,100.0,N,N
152,AMBA,"Ambarella, Inc. - Ordinary Shares",Q,N,N,100.0,N,N
153,AMCA,iShares Russell 1000 Pure U.S. Revenue ETF,G,N,N,100.0,Y,N
154,AMCI,AMCI Acquisition Corp. - Class A Common Stock,S,N,N,100.0,N,N
155,AMCIU,AMCI Acquisition Corp. - Unit,S,N,N,100.0,N,N
156,AMCIW,AMCI Acquisition Corp. - Warrant,S,N,N,100.0,N,N
157,AMCX,AMC Networks Inc. - Class A Common Stock,Q,N,N,100.0,N,N
158,AMD,"Advanced Micro Devices, Inc. - Common Stock",Q,N,N,100.0,N,N
159,AMED,Amedisys Inc - Common Stock,Q,N,N,100.0,N,N
160,AMEH,"Apollo Medical Holdings, Inc. - Common Stock",S,N,N,100.0,N,N
161,AMGN,Amgen Inc. - Common Stock,Q,N,N,100.0,N,N
162,AMHC,Amplitude Healthcare Acquisition Corporation - Class A Common Stock,S,N,N,100.0,N,N
163,AMHCU,Amplitude Healthcare Acquisition Corporation - Unit,S,N,N,100.0,N,N
164,AMHCW,Amplitude Healthcare Acquisition Corporation - Warrant,S,N,N,100.0,N,N
165,AMKR,"Amkor Technology, Inc. - Common Stock",Q,N,N,100.0,N,N
166,AMNB,"American National Bankshares, Inc. - Common Stock",Q,N,N,100.0,N,N
167,AMOT,"Allied Motion Technologies, Inc. - Common Stock",G,N,N,100.0,N,N
168,AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
169,AMRB,American River Bankshares - Common Stock,Q,N,N,100.0,N,N
170,AMRH,"Ameri Holdings, Inc. - Common Stock",S,N,N,100.0,N,N
171,AMRHW,"Ameri Holdings, Inc. - Warrant",S,N,N,100.0,N,N
172,AMRK,"A-Mark Precious Metals, Inc. - Common Stock",Q,N,N,100.0,N,N
173,AMRN,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share",G,N,N,100.0,N,N
174,AMRS,"Amyris, Inc. - Common Stock",Q,N,D,100.0,N,N
175,AMSC,American Superconductor Corporation - Common Stock,Q,N,N,100.0,N,N
176,AMSF,"AMERISAFE, Inc. - Common Stock",Q,N,N,100.0,N,N
177,AMSWA,"American Software, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
178,AMTB,Amerant Bancorp Inc. - Class A Common Stock,Q,N,N,100.0,N,N
179,AMTBB,Amerant Bancorp Inc. - Class B Common Stock,Q,N,N,100.0,N,N
180,AMTD,TD Ameritrade Holding Corporation - Common Stock,Q,N,N,100.0,N,N
181,AMTX,"Aemetis, Inc - Common Stock",G,N,D,100.0,N,N
182,AMWD,American Woodmark Corporation - Common Stock,Q,N,N,100.0,N,N
183,AMZN,"Amazon.com, Inc. - Common Stock",Q,N,N,100.0,N,N
184,ANAB,"AnaptysBio, Inc. - Common Stock",Q,N,N,100.0,N,N
185,ANAT,American National Insurance Company - Common Stock,Q,N,N,100.0,N,N
186,ANCN,Anchiano Therapeutics Ltd. - American Depositary Shares,S,N,D,100.0,N,N
187,ANDA,Andina Acquisition Corp. III - Ordinary Shares,S,N,N,100.0,N,N
188,ANDAR,Andina Acquisition Corp. III - Right,S,N,N,100.0,N,N
189,ANDAU,Andina Acquisition Corp. III - Unit,S,N,N,100.0,N,N
190,ANDAW,Andina Acquisition Corp. III - Warrant,S,N,N,100.0,N,N
191,ANDE,"The Andersons, Inc. - Common Stock",Q,N,N,100.0,N,N
192,ANGI,ANGI Homeservices Inc. - Class A Common Stock,Q,N,N,100.0,N,N
193,ANGL,VanEck Vectors Fallen Angel High Yield Bond ETF,G,N,N,100.0,Y,N
194,ANGO,"AngioDynamics, Inc. - Common Stock",Q,N,N,100.0,N,N
195,ANIK,Anika Therapeutics Inc. - Common Stock,Q,N,N,100.0,N,N
196,ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",G,N,N,100.0,N,N
197,ANIX,"Anixa Biosciences, Inc. - Common Stock",S,N,N,100.0,N,N
198,ANPC,"AnPac Bio-Medical Science Co., Ltd. - American Depositary Shares",G,N,N,100.0,N,N
199,ANSS,"ANSYS, Inc. - Common Stock",Q,N,N,100.0,N,N
200,ANTE,"AirNet Technology Inc. - American Depositary Shares, each representing ten ordinary shares",S,N,D,100.0,N,N
201,ANY,Sphere 3D Corp. - Common Shares,S,N,D,100.0,N,N
202,AOBC,American Outdoor Brands Corporation - Common Stock,Q,N,N,100.0,N,N
203,AOSL,Alpha and Omega Semiconductor Limited - Common Shares,Q,N,N,100.0,N,N
204,APDN,"Applied DNA Sciences, Inc. - Common Stock",S,N,N,100.0,N,N
205,APEI,"American Public Education, Inc. - Common Stock",Q,N,N,100.0,N,N
206,APEN,"Apollo Endosurgery, Inc. - Common Stock",G,N,N,100.0,N,N
207,APEX,Apex Global Brands Inc. - Common Stock,S,N,D,100.0,N,N
208,APLS,"Apellis Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
209,APLT,"Applied Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
210,APM,Aptorum Group Limited - Class A Ordinary Shares,G,N,N,100.0,N,N
211,APOG,"Apogee Enterprises, Inc. - Common Stock",Q,N,N,100.0,N,N
212,APOP,Cellect Biotechnology Ltd. - American Depositary Shares,S,N,N,100.0,N,N
213,APOPW,Cellect Biotechnology Ltd. - Warrants to Purchase ADR (1 WT and $7.50 to purchase 0.2 ADS),S,N,N,100.0,N,N
214,APPF,"AppFolio, Inc. - Class A Common Stock",G,N,N,100.0,N,N
215,APPN,Appian Corporation - Class A Common Stock,G,N,N,100.0,N,N
216,APPS,"Digital Turbine, Inc. - Common Stock",S,N,N,100.0,N,N
217,APRE,"Aprea Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
218,APTO,"Aptose Biosciences, Inc. - Common Shares",S,N,N,100.0,N,N
219,APTX,Aptinyx Inc. - Common Stock,Q,N,N,100.0,N,N
220,APVO,Aptevo Therapeutics Inc. - Common Stock,S,N,N,100.0,N,N
221,APWC,"Asia Pacific Wire &amp; Cable Corporation Limited - Common shares, Par value .01 per share",G,N,D,100.0,N,N
222,APXT,Apex Technology Acquisition Corporation - Class A Common Stock,S,N,N,100.0,N,N
223,APXTU,Apex Technology Acquisition Corporation - Unit,S,N,N,100.0,N,N
224,APXTW,Apex Technology Acquisition Corporation - Warrant,S,N,N,100.0,N,N
225,APYX,Apyx Medical Corporation - Common Stock,Q,N,N,100.0,N,N
226,AQB,"AquaBounty Technologies, Inc. - Common Stock",S,N,N,100.0,N,N
227,AQMS,"Aqua Metals, Inc. - Common Stock",S,N,D,100.0,N,N
228,AQST,"Aquestive Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
229,ARAV,"Aravive, Inc. - Common Stock",Q,N,N,100.0,N,N
230,ARAY,Accuray Incorporated - Common Stock,Q,N,N,100.0,N,N
231,ARCB,ArcBest Corporation - Common Stock,Q,N,N,100.0,N,N
232,ARCC,Ares Capital Corporation - Closed End Fund,Q,N,N,100.0,N,N
233,ARCE,Arco Platform Limited - Class A Common Shares,Q,N,N,100.0,N,N
234,ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,G,N,N,100.0,N,N
235,ARDS,Aridis Pharmaceuticals Inc. - Common Stock,S,N,N,100.0,N,N
236,ARDX,"Ardelyx, Inc. - Common Stock",G,N,N,100.0,N,N
237,AREC,American Resources Corporation - Class A Common Stock,S,N,D,100.0,N,N
238,ARGX,argenx SE - American Depositary Shares,Q,N,N,100.0,N,N
239,ARKR,Ark Restaurants Corp. - Common Stock,G,N,N,100.0,N,N
240,ARLP,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",Q,N,N,100.0,N,N
241,ARNA,"Arena Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
242,AROW,Arrow Financial Corporation - Common Stock,Q,N,N,100.0,N,N
243,ARPO,"Aerpio Pharmaceuticals, Inc. - Common Stock",S,N,D,100.0,N,N
244,ARQT,"Arcutis Biotherapeutics, Inc. - Common stock",Q,N,N,100.0,N,N
245,ARTL,"Artelo Biosciences, Inc. - Common Stock",S,N,N,100.0,N,N
246,ARTLW,"Artelo Biosciences, Inc. - Warrant",S,N,N,100.0,N,N
247,ARTNA,Artesian Resources Corporation - Class A Non-Voting Common Stock,Q,N,N,100.0,N,N
248,ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock",S,N,N,100.0,N,N
249,ARVN,"Arvinas, Inc. - Common Stock",Q,N,N,100.0,N,N
250,ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",Q,N,N,100.0,N,N
251,ARYA,ARYA Sciences Acquisition Corp. - Class A Ordinary Shares,S,N,D,100.0,N,N
252,ARYAU,ARYA Sciences Acquisition Corp. - Unit,S,N,D,100.0,N,N
253,ARYAW,ARYA Sciences Acquisition Corp. - Warrant,S,N,D,100.0,N,N
254,ASET,FlexShares Real Assets Allocation Index Fund,G,N,N,100.0,Y,N
255,ASFI,"Asta Funding, Inc. - Common Stock",Q,N,N,100.0,N,N
256,ASLN,ASLAN Pharmaceuticals Limited - American Depositary Shares,G,N,N,100.0,N,N
257,ASMB,"Assembly Biosciences, Inc. - Common Stock",Q,N,N,100.0,N,N
258,ASML,ASML Holding N.V. - New York Registry Shares,Q,N,N,100.0,N,N
259,ASNA,"Ascena Retail Group, Inc. - Common Stock",Q,N,N,100.0,N,N
260,ASND,Ascendis Pharma A/S - American Depositary Shares,Q,N,N,100.0,N,N
261,ASPS,Altisource Portfolio Solutions S.A. - Common Stock,Q,N,N,100.0,N,N
262,ASPU,Aspen Group Inc. - Common Stock,G,N,N,100.0,N,N
263,ASRT,"Assertio Therapeutics, Inc. - Common Stock",Q,N,D,100.0,N,N
264,ASRV,AmeriServ Financial Inc. - Common Stock,G,N,N,100.0,N,N
265,ASRVP,"AmeriServ Financial Inc. - AmeriServ Financial Trust I - 8.45% Beneficial Unsecured Securities, Series A",G,N,N,100.0,N,N
266,ASTC,Astrotech Corporation - Common Stock,S,N,D,100.0,N,N
267,ASTE,"Astec Industries, Inc. - Common Stock",Q,N,N,100.0,N,N
268,ASUR,Asure Software Inc - Common Stock,S,N,N,100.0,N,N
269,ASYS,"Amtech Systems, Inc. - Common Stock",Q,N,N,100.0,N,N
270,ATAX,"America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests",Q,N,N,100.0,N,N
271,ATCX,"Atlas Technical Consultants, Inc. - Class A Common Stock",G,N,N,100.0,N,N
272,ATCXW,"Atlas Technical Consultants, Inc. - Warrant",G,N,N,100.0,N,N
273,ATEC,"Alphatec Holdings, Inc. - Common Stock",Q,N,N,100.0,N,N
274,ATEX,Anterix Inc. - Common Stock,S,N,N,100.0,N,N
275,ATHE,Alterity Therapeutics Limited - American Depositary Shares,S,N,D,100.0,N,N
276,ATHX,"Athersys, Inc. - Common Stock",S,N,N,100.0,N,N
277,ATIF,ATIF Holdings Limited - Ordinary Shares,S,N,N,100.0,N,N
278,ATLC,Atlanticus Holdings Corporation - Common Stock,Q,N,N,100.0,N,N
279,ATLO,Ames National Corporation - Common Stock,S,N,N,100.0,N,N
280,ATNI,"ATN International, Inc. - Common Stock",Q,N,N,100.0,N,N
281,ATNX,"Athenex, Inc. - Common Stock",Q,N,N,100.0,N,N
282,ATOM,Atomera Incorporated - Common Stock,S,N,N,100.0,N,N
283,ATOS,"Atossa Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
284,ATRA,"Atara Biotherapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N
285,ATRC,"AtriCure, Inc. - Common Stock",G,N,N,100.0,N,N
286,ATRI,Atrion Corporation - Common Stock,Q,N,N,100.0,N,N
287,ATRO,Astronics Corporation - Common Stock,Q,N,N,100.0,N,N
288,ATRS,"Antares Pharma, Inc. - Common Stock",S,N,N,100.0,N,N
289,ATSG,"Air Transport Services Group, Inc - Common Stock",Q,N,N,100.0,N,N
290,ATVI,"Activision Blizzard, Inc - Common Stock",Q,N,N,100.0,N,N
291,ATXI,"Avenue Therapeutics, Inc. - Common Stock",S,N,N,100.0,N,N
292,AUB,Atlantic Union Bankshares Corporation - Common Stock,Q,N,N,100.0,N,N
293,AUBN,"Auburn National Bancorporation, Inc. - Common Stock",G,N,N,100.0,N,N
294,AUDC,AudioCodes Ltd. - Ordinary Shares,Q,N,N,100.0,N,N
295,AUPH,Aurinia Pharmaceuticals Inc - Common Shares,G,N,N,100.0,N,N
296,AUTL,Autolus Therapeutics plc - American Depositary Shares,Q,N,N,100.0,N,N
297,AUTO,"AutoWeb, Inc. - Common Stock",S,N,N,100.0,N,N
298,AVAV,"AeroVironment, Inc. - Common Stock",Q,N,N,100.0,N,N
299,AVCO,Avalon GloboCare Corp. - Common Stock,S,N,N,100.0,N,N
300,AVCT,"American Virtual Cloud Technologies, Inc.  - Common Stock",S,N,D,100.0,N,N
301,AVCTW,"American Virtual Cloud Technologies, Inc.  - Warrant expiring 4/7/2020",S,N,D,100.0,N,N
302,AVDL,Avadel Pharmaceuticals plc - American Depositary Shares each representing one Ordinary Share,G,N,N,100.0,N,N
303,AVEO,"AVEO Pharmaceuticals, Inc. - Common Stock",S,N,N,100.0,N,N
304,AVGO,Broadcom Inc. - Common Stock,Q,N,N,100.0,N,N
305,AVGOP,"Broadcom Inc. - 8.00% Mandatory Convertible Preferred Stock, Series A",Q,N,N,100.0,N,N
306,AVGR,"Avinger, Inc. - Common Stock",S,N,D,100.0,N,N
307,AVID,"Avid Technology, Inc. - Common Stock",Q,N,N,100.0,N,N
308,AVNW,"Aviat Networks, Inc. - Common Stock",Q,N,N,100.0,N,N
309,AVRO,"AVROBIO, Inc. - Common Stock",Q,N,N,100.0,N,N
310,AVT,"Avnet, Inc. - Common Stock",Q,N,N,100.0,N,N
311,AVXL,Anavex Life Sciences Corp. - Common Stock,S,N,N,100.0,N,N
312,AWRE,"Aware, Inc. - Common Stock",G,N,N,100.0,N,N
313,AXAS,Abraxas Petroleum Corporation - Common Stock,S,N,H,100.0,N,N
314,AXDX,"Accelerate Diagnostics, Inc. - Common Stock",S,N,N,100.0,N,N
315,AXGN,"Axogen, Inc. - Common Stock",S,N,N,100.0,N,N
316,AXGT,Axovant Gene Therapies Ltd. - Common Shares,Q,N,N,100.0,N,N
